table_name,column_name,replaced_with,referenced_table,referenced_column,lookup_column
authority_approvals_tracking,period,master_period_id,master_period,id,period
authority_approvals_tracking,project_name,master_project_name_id,master_project_name,id,project_name
authority_approvals_tracking,phase,master_project_phase_id,master_project_phase,id,project_phase
commercial_status,period,master_period_id,master_period,id,period
commercial_status,project_name,master_project_name_id,master_project_name,id,project_name
community_facility_brief,period,master_period_id,master_period,id,period
community_facility_brief,project_name,master_project_name_id,master_project_name,id,project_name
contract_vo_status,period,master_period_id,master_period,id,period
contract_vo_status,project_name,master_project_name_id,master_project_name,id,project_name
contract_vo_status,phase,master_project_phase_id,master_project_phase,id,project_phase
key_achievments,period,master_period_id,master_period,id,period
key_achievments,project_name,master_project_name_id,master_project_name,id,project_name
key_achievments,phase,master_project_phase_id,master_project_phase,id,project_phase
key_risk,period,master_period_id,master_period,id,period
key_risk,project_name,master_project_name_id,master_project_name,id,project_name
key_risk,phase,master_project_phase_id,master_project_phase,id,project_phase
project_kpi,period,master_period_id,master_period,id,period
project_kpi,project_name,master_project_name_id,master_project_name,id,project_name
project_management,period,master_period_id,master_period,id,period
project_management,project_name,master_project_name_id,master_project_name,id,project_name
project_management,phase,master_project_phase_id,master_project_phase,id,project_phase
project_milestone,period,master_period_id,master_period,id,period
project_milestone,project_name,master_project_name_id,master_project_name,id,project_name
project_milestone,phase,master_project_phase_id,master_project_phase,id,project_phase
project_status,period,master_period_id,master_period,id,period
project_status,project_name,master_project_name_id,master_project_name,id,project_name
project_status,phase,master_project_phase_id,master_project_phase,id,project_phase
project_status_weightage,period,master_period_id,master_period,id,period
project_status_weightage,project_name,master_project_name_id,master_project_name,id,project_name
project_summary,period,master_period_id,master_period,id,period
project_summary,project_name,master_project_name_id,master_project_name,id,project_name
project_summary,owning_entity,master_owning_entity_id,master_owning_entity,id,owning_entity
project_summary,project_status,master_project_status_id,master_project_status,id,project_status
project_sustainability,period,master_period_id,master_period,id,period
project_sustainability,project_name,master_project_name_id,master_project_name,id,project_name
