table_name,column_name
authority_approvals_tracking,period
authority_approvals_tracking,project_name
authority_approvals_tracking,phase
commercial_status,period
commercial_status,project_name
community_facility_brief,period
community_facility_brief,project_name
contract_vo_status,period
contract_vo_status,project_name
contract_vo_status,phase
key_achievments,period
key_achievments,project_name
key_achievments,phase
key_risk,period
key_risk,project_name
key_risk,phase
project_kpi,period
project_kpi,project_name
project_management,period
project_management,project_name
project_management,phase
project_milestone,period
project_milestone,project_name
project_milestone,phase
project_status,period
project_status,project_name
project_status,phase
project_status_weightage,period
project_status_weightage,project_name
project_summary,period
project_summary,project_name
project_summary,owning_entity
project_summary,project_status
project_sustainability,period
project_sustainability,project_name
