table_name,column_name,constraint_type,value
project_sustainability,pearl_rating_percentage,MAX,8
project_sustainability,pearl_rating_percentage,MIN,0
project_summary,period;project_name,UNIQUE,
project_status,period;project_name;stage;sub_stage;phase;project_phase_category,UNIQUE,
contract_vo_status,period;project_name;phase;contract_type;contractor_name,UNIQUE,
entity_score,period;project_name,UNIQUE,
feedback,period;project_name,UNIQUE,
news_feed,period;project_name,UNIQUE,
potential_budget_uplift_scope,period;project_name,UNIQUE,
project_kpi,period;project_name;project_type;kpi,UNIQUE,
project_management,period;project_name;phase;stage_status;sub_stage,UNIQUE,
project_status_weightage,period;project_name,UNIQUE,
project_sustainability,period;project_name,UNIQUE,
master_consultant,consultant,UNIQUE,
master_contract_type,contract_type,UNIQUE,
master_contractor,contractor,UNIQUE,
master_control_manager,control_manager,UNIQUE,
master_design_executive_director,design_executive_director,UNIQUE,
master_director,director,UNIQUE,
master_entity_category,entity_category,UNIQUE,
master_executive_director,executive_director,UNIQUE,
master_kpi,kpi;project_type,UNIQUE,
master_location,location,UNIQUE,
master_milestone_number,milestone_number,UNIQUE,
master_mitigation_recovery_plan,mitigation_recovery_plan,UNIQUE,
master_next_steps_to_advance_progress,next_steps_to_advance_progress,UNIQUE,
master_non_recoverable_delay_justification,non_recoverable_delay_justification,UNIQUE,
master_owning_entity,owning_entity,UNIQUE,
master_pmc_consultant,pmc_consultant,UNIQUE,
master_portfolio_manager,portfolio_manager,UNIQUE,
master_pricing_type,pricing_type,UNIQUE,
master_project_phase_category,procurement_manager,UNIQUE,
master_project_phase_category,project_phase_category,UNIQUE,
master_project_stage_status,project_stage_status,UNIQUE,
master_project_status,project_status,UNIQUE,
master_project_sub_stage,project_sub_stage,UNIQUE,
master_rating,rating,UNIQUE,
master_reason_for_delay,reason_for_delay,UNIQUE,
master_risk_category,risk_category,UNIQUE,
master_risk_discipline,risk_discipline,UNIQUE,
master_risk_owner,risk_owner,UNIQUE,
master_delivery_project_manager,delivery_project_manager,UNIQUE,
master_sub_location,sub_location,UNIQUE,
master_typology,typology,UNIQUE,
master_project_classification,project_classification,UNIQUE,
commercial_status,period;project_name,UNIQUE,
