contractor,long_name,icv_percentage,worker_welfare_compliance_percentage,evaluation_score,number_of_grievances
ACC & Trojan,ACC & Trojan JV Project,,,,,
Al Nasr,,,,,,
GINCO,GINCO Contracting Co. LLC,,,,,
Bauer,,,,,,
Engineering Solutions,Engineering Solutions Electro Mechanical & General Contracting LLC,,,,,
Khatib and Alami,,,,,,
Jouzy,,,,,,
NEB,,,,,,
MZ Architects,,,,,,
Core,,,,,,
CDM smith,,,,,,
Dar Al Handasah,,,,,,
ITAL CONSULT,,,,,,
Omnium,,,,,,
MACE,,,,,,
CRTKL,,,,,,
Diamond,,,,,,
Dileonardo International,,,,,,
Hill International,,,,,,
AECOM,,,,,,
Studio PCH,,,,,,
Currie & Brown,,,,,,
Leo A Daly,,,,,,
Atkins,,,,,,
KN International,,,,,,
VX Studio,,,,,,
Armstrong,,,,,,
JLL,,,,,,
AL BAYATY ARCHITECTS and Engineering Consultancy LLC,,,,,,
Consolidated consultant group (CCG),,,,,,
Tatweer,,,,,,
Stantec,,,,,,
Al Amara Al Sharqiya LLC,,,,,,
KBR,,,,,,
WME,,,,,,
Mark Habre,,,,,,
GHD,,,,,,
WET,,,,,,
Arcal,,,,,,
Parsons,,,,,,
Broadway Malyan,,,,,,
U+A,,,,,,
Mustard & Linen,,,,,,
PMK,,,,,,
Obermeyer Middle East GmbH,,,,,,
Cracknell,,,,,,
Turner & Townsend,,,,,,
WSP,,,,,,
IDROESSE INFRASTRUCTURE MIDDLE EAST L.L.C.,,,,,,
Currie and Brown,,,,,,
Shapoorji Pallonji,,,,,,
AE7,,,,,,
Halcrow,,,,,,
Dewan,,,,,,
ALTORATH,,,,,,
GINCO Sharjah,,,,,,
ACE INTERNATIONAL,,,,,,
BD & S,,,,,,
ICON,,,,,,
Al Ryum Contracting & General Transport,,,,,,
Mott Mcdonalds,,,,,,
RW Armstrong,,,,,,
Arcadis,,,,,,
Big Partners Limited,,,,,,
Bainona,,,,,,
Otak Consultant,,,,,,
SA Engineering,,,,,,
KEO,,,,,,
RSP,,,,,,
Gulf Contracting Company,,,,,,
NBHH,,,,,,
Tibudin,,,,,,
ACME Madrid,,,,,,
Faithful + Gould,,,,,,
Woods Bagot,,,,,,
Mott Macdonald,,,,,,
UPA,,,,,,
ACE - Moharram Bakhoum,,,,,,
