database,table_name,column_name
both,SPA,SPA_Column_2
both,SPA,SPA_Column_3
both,SPA,SPA_Column_5
both,SPA,SPA_Column_6
both,SPA,spa_variance
both,project_management,bua
both,project_management,budget
both,project_management,gfa
both,project_management,no_plots
both,project_management,no_units
both,project_management,notes
both,project_status,controls_manager
both,project_status,design_manager_name
both,project_status,executive_director
both,project_status,lattitude
both,project_status,longitude
both,project_status,portfolio_manager
both,project_summary,ldc
both,project_summary,project_type2
both,project_summary,project_type3
both,SPA,contractual_variance
both,SPA,Permit_and_Land_Clearances_Date
insights,entity_key_achievements,end_date
insights,entity_key_achievements,key_achievments_delim
insights,entity_key_achievements,next_plan_delim
insights,entity_key_achievements,start_date
insights,project_summary,sub_owning_entity
insights,Master_SVP,new_id
both,project_management,project_management_var
both,project_milestone,key_risk_sorting_order
both,project_management,cost_per_sqm
both,project_management,forecast_completion_last_week
both,project_summary,lti
both,project_management,lti
both,project_status,duration_in_days
both,project_status,buffer_in_days
both,project_status,eot_to_entity
both,project_status,variance_in_days
both,project_stage_weightage,Overall
