database,table_name
pulse,project_to_be_completed_in
pulse,entity_category
pulse,Entity_key_achievements
pulse,project_pricing_type
pulse,Project_summary_controls_manager
pulse,Project_summary_design_manager
pulse,Project_summary_executive_director
pulse,Project_summary_manager
pulse,Project_summary_portfolio
pulse,Master_Developers
pulse,Master_Design_Manager
pulse,Master_Project_Category
pulse,Master_Sub_Owning_Entity
pulse,Master_Sub_Status
insights,entity_category
insights,project_pricing_type
insights,INPUT_MONTHLY_PERFORMANCE_IMPORT
insights,INPUT_PHASE_FOUR_INFO_IMPORT
insights,INPUT_PHASE_ONE_INFO_IMPORT
insights,INPUT_PHASE_THREE_INFO_IMPORT
insights,INPUT_PHASE_TWO_STAGE_ONE_INFO_IMPORT
insights,INPUT_PHASE_TWO_STAGE_THREE_INFO_IMPORT
insights,INPUT_PHASE_TWO_STAGE_TWO_INFO_IMPORT
insights,INPUT_PROJECT_RISK_LIST_IMPORT
insights,file_load_log
insights,Project_Summary_22_Feb
insights,Project_Summary_22Feb
insights,project_to_be_completed_in
